"","Station","Time","Date","Species","DateTimeOriginal","roundedDateTime","checks"
"1","StationA",13H 47M 43S,2024-04-30,"Bengal Fox",2024-04-30 13:47:43,2024-04-30 13:48:00,"Round 05"
"2","StationA",13H 48M 4S,2024-04-30,"Bengal Fox",2024-04-30 13:48:04,2024-04-30 13:48:00,"Round 05"
"3","StationA",13H 48M 41S,2024-04-30,"Bengal Fox",2024-04-30 13:48:41,2024-04-30 13:49:00,"Round 05"
"4","StationA",14H 3M 48S,2024-04-30,"Bengal Fox",2024-04-30 14:03:48,2024-04-30 14:04:00,"Round 05"
"5","StationA",14H 7M 3S,2024-04-30,"Bengal Fox",2024-04-30 14:07:03,2024-04-30 14:07:00,"Round 05"
"6","StationA",16H 22M 6S,2024-04-30,"Bengal Fox",2024-04-30 16:22:06,2024-04-30 16:22:00,"Round 05"
"7","StationA",16H 23M 13S,2024-04-30,"Bengal Fox",2024-04-30 16:23:13,2024-04-30 16:23:00,"Round 05"
"8","StationA",16H 23M 44S,2024-04-30,"Bengal Fox",2024-04-30 16:23:44,2024-04-30 16:24:00,"Round 05"
"9","StationA",16H 54M 49S,2024-04-30,"Bengal Fox",2024-04-30 16:54:49,2024-04-30 16:55:00,"Round 05"
"10","StationA",16H 57M 24S,2024-04-30,"Bengal Fox",2024-04-30 16:57:24,2024-04-30 16:57:00,"Round 05"
"11","StationA",16H 58M 10S,2024-04-30,"Bengal Fox",2024-04-30 16:58:10,2024-04-30 16:58:00,"Round 05"
"12","StationA",17H 9M 15S,2024-04-30,"Bengal Fox",2024-04-30 17:09:15,2024-04-30 17:09:00,"Round 05"
"13","StationA",18H 24M 58S,2024-04-30,"Bengal Fox",2024-04-30 18:24:58,2024-04-30 18:25:00,"Round 05"
"14","StationA",18H 25M 37S,2024-04-30,"Bengal Fox",2024-04-30 18:25:37,2024-04-30 18:26:00,"Round 05"
"15","StationA",18H 30M 5S,2024-04-30,"Bengal Fox",2024-04-30 18:30:05,2024-04-30 18:30:00,"Round 05"
"16","StationA",18H 32M 18S,2024-04-30,"Bengal Fox",2024-04-30 18:32:18,2024-04-30 18:32:00,"Round 05"
"17","StationA",17H 28M 46S,2024-04-30,"Bengal Fox",2024-04-30 17:28:46,2024-04-30 17:29:00,"Round 05"
"18","StationA",13H 22M 28S,2024-04-30,"Bengal Fox",2024-04-30 13:22:28,2024-04-30 13:22:00,"Round 05"
"19","StationA",13H 44M 49S,2024-04-30,"Bengal Fox",2024-04-30 13:44:49,2024-04-30 13:45:00,"Round 05"
"20","StationA",13H 47M 13S,2024-04-30,"Bengal Fox",2024-04-30 13:47:13,2024-04-30 13:47:00,"Round 05"
